Record Length,10000,Points,21.00399979E-6,-60.937498347E-6,,Record Length,10000,Points,21.00399979E-6,-24.37499911E-3,
Sample Interval,400.00000370E-12,s,21.00439997E-6,-64.374995418E-6,,Sample Interval,400.00000370E-12,s,21.00439997E-6,-21.87499963E-3,
Trigger Point,-52.51000127E3,Samples,21.00480015E-6,-67.187495006E-6,,Trigger Point,-52.51000127E3,Samples,21.00480015E-6,-23.12500030E-3,
,,,21.00520032E-6,-67.187495006E-6,,,,,21.00520032E-6,-23.12500030E-3,
,,,21.00560050E-6,-69.687499490E-6,,,,,21.00560050E-6,-23.43750000E-3,
,,,21.00600068E-6,-78.749995737E-6,,,,,21.00600068E-6,-24.06249940E-3,
Source,CH1,,21.00639904E-6,-69.062494731E-6,,Source,CH4,,21.00639904E-6,-24.21874925E-3,
Vertical Units,V,,21.00679922E-6,-66.874999902E-6,,Vertical Units,V,,21.00679922E-6,-24.99999851E-3,
Vertical Scale,2.0478124E-3,,21.00719939E-6,-57.499997638E-6,,Vertical Scale,1.0239062,,21.00719939E-6,-23.59374985E-3,
Vertical Offset,0,,21.00759957E-6,-55.937500292E-6,,Vertical Offset,0,,21.00759957E-6,-23.74999970E-3,
Horizontal Units,s,,21.00799975E-6,-56.249999034E-6,,Horizontal Units,s,,21.00799975E-6,-22.96874858E-3,
Horizontal Scale,400.00000534E-9,,21.00839993E-6,-60.624999605E-6,,Horizontal Scale,400.00000534E-9,,21.00839993E-6,-24.68749881E-3,
Pt Fmt,Y,,21.00880010E-6,-52.18749720E-6,,Pt Fmt,Y,,21.00880010E-6,-21.87499963E-3,
Yzero,-39.06607661E-3,,21.00920028E-6,-61.874998210E-6,,Yzero,0.0,,21.00920028E-6,-25.93749948E-3,
Probe Atten,1.000000,,21.00960046E-6,-68.749999627E-6,,Probe Atten,1.000000,,21.00960046E-6,-24.06249940E-3,
,,,21.01000064E-6,-62.187500589E-6,,,,,21.01000064E-6,-24.06249940E-3,
Note,MDO3014 - 16:20:51   17-10-2021,,21.01039900E-6,-58.124998759E-6,,Note,MDO3014 - 16:20:51   17-10-2021,,21.01039900E-6,-22.96874858E-3,
,,,21.01079917E-6,-59.687499743E-6,,,,,21.01079917E-6,-23.28125015E-3,
,,,21.01119935E-6,-51.87499846E-6,,,,,21.01119935E-6,-21.56249993E-3,
,,,21.01159953E-6,-58.749999880E-6,,,,,21.01159953E-6,-23.74999970E-3,
,,,21.01199971E-6,-57.499997638E-6,,,,,21.01199971E-6,-22.34374918E-3,
,,,21.01239988E-6,-59.374997363E-6,,,,,21.01239988E-6,-22.34374918E-3,
,,,21.01280006E-6,-60.624999605E-6,,,,,21.01280006E-6,-25.31250007E-3,
,,,21.01320024E-6,-64.687497797E-6,,,,,21.01320024E-6,-24.37499911E-3,
,,,21.01360042E-6,-65.937500040E-6,,,,,21.01360042E-6,-23.74999970E-3,
,,,21.01400059E-6,-65.937500040E-6,,,,,21.01400059E-6,-23.59374985E-3,
,,,21.01439895E-6,-59.999998484E-6,,,,,21.01439895E-6,-21.09375037E-3,
,,,21.01479913E-6,-64.062500314E-6,,,,,21.01479913E-6,-25.15625022E-3,
,,,21.01519931E-6,-59.999998484E-6,,,,,21.01519931E-6,-23.90624955E-3,
,,,21.01559949E-6,-56.875000155E-6,,,,,21.01559949E-6,-22.96874858E-3,
,,,21.01599966E-6,-57.187498896E-6,,,,,21.01599966E-6,-22.18749933E-3,
,,,21.01639984E-6,-59.374997363E-6,,,,,21.01639984E-6,-22.65624888E-3,
,,,21.01680002E-6,-65.000000177E-6,,,,,21.01680002E-6,-24.68749881E-3,
,,,21.01720020E-6,-64.687497797E-6,,,,,21.01720020E-6,-21.40625007E-3,
,,,21.01760037E-6,-62.499995693E-6,,,,,21.01760037E-6,-23.90624955E-3,
,,,21.01800055E-6,-55.624997913E-6,,,,,21.01800055E-6,-22.03124948E-3,
,,,21.01839891E-6,-60.312497226E-6,,,,,21.01839891E-6,-24.21874925E-3,
,,,21.01879909E-6,-65.312495281E-6,,,,,21.01879909E-6,-24.99999851E-3,
,,,21.01919927E-6,-59.687499743E-6,,,,,21.01919927E-6,-23.43750000E-3,
,,,21.01959944E-6,-70.312496973E-6,,,,,21.01959944E-6,-24.06249940E-3,
,,,21.01999962E-6,-68.124994868E-6,,,,,21.01999962E-6,-24.06249940E-3,
,,,21.02039980E-6,-70.624999353E-6,,,,,21.02039980E-6,-22.96874858E-3,
,,,21.02079998E-6,-71.562499215E-6,,,,,21.02079998E-6,-22.03124948E-3,
,,,21.02120015E-6,-65.937500040E-6,,,,,21.02120015E-6,-24.84374866E-3,
,,,21.02160033E-6,-54.999996792E-6,,,,,21.02160033E-6,-21.40625007E-3,
,,,21.02200051E-6,-59.374997363E-6,,,,,21.02200051E-6,-24.21874925E-3,
,,,21.02240069E-6,-60.312497226E-6,,,,,21.02240069E-6,-24.53124896E-3,
,,,21.02279905E-6,-59.687499743E-6,,,,,21.02279905E-6,-23.43750000E-3,
,,,21.02319922E-6,-58.749999880E-6,,,,,21.02319922E-6,-21.40625007E-3,
,,,21.02359940E-6,-51.56249972E-6,,,,,21.02359940E-6,-22.34374918E-3,
,,,21.02399958E-6,-54.37499931E-6,,,,,21.02399958E-6,-21.09375037E-3,
,,,21.02439976E-6,-54.999996792E-6,,,,,21.02439976E-6,-23.28125015E-3,
,,,21.02479993E-6,-58.749999880E-6,,,,,21.02479993E-6,-23.12500030E-3,
,,,21.02520011E-6,-59.062498622E-6,,,,,21.02520011E-6,-22.18749933E-3,
,,,21.02560029E-6,-56.875000155E-6,,,,,21.02560029E-6,-23.90624955E-3,
,,,21.02600047E-6,-58.124998759E-6,,,,,21.02600047E-6,-23.59374985E-3,
,,,21.02640065E-6,-54.999996792E-6,,,,,21.02640065E-6,-23.43750000E-3,
,,,21.02679900E-6,-53.12499707E-6,,,,,21.02679900E-6,-25.31250007E-3,
,,,21.02719918E-6,-48.75000013E-6,,,,,21.02719918E-6,-20.93749866E-3,
,,,21.02759936E-6,-52.81249832E-6,,,,,21.02759936E-6,-24.37499911E-3,
,,,21.02799954E-6,-51.24999734E-6,,,,,21.02799954E-6,-25.31250007E-3,
,,,21.02839971E-6,-49.99999874E-6,,,,,21.02839971E-6,-22.81249873E-3,
,,,21.02879989E-6,-48.43749775E-6,,,,,21.02879989E-6,-22.65624888E-3,
,,,21.02920007E-6,-52.81249832E-6,,,,,21.02920007E-6,-23.59374985E-3,
,,,21.02960025E-6,-57.499997638E-6,,,,,21.02960025E-6,-24.53124896E-3,
,,,21.03000043E-6,-58.749999880E-6,,,,,21.03000043E-6,-22.49999903E-3,
,,,21.03040060E-6,-55.312499171E-6,,,,,21.03040060E-6,-23.43750000E-3,
,,,21.03079896E-6,-59.999998484E-6,,,,,21.03079896E-6,-22.18749933E-3,
,,,21.03119914E-6,-62.187500589E-6,,,,,21.03119914E-6,-23.28125015E-3,
,,,21.03159932E-6,-66.874999902E-6,,,,,21.03159932E-6,-23.28125015E-3,
,,,21.03199949E-6,-64.687497797E-6,,,,,21.03199949E-6,-22.49999903E-3,
,,,21.03239967E-6,-69.999994594E-6,,,,,21.03239967E-6,-23.43750000E-3,
,,,21.03279985E-6,-59.999998484E-6,,,,,21.03279985E-6,-24.68749881E-3,
,,,21.03320003E-6,-60.937498347E-6,,,,,21.03320003E-6,-22.65624888E-3,
,,,21.03360021E-6,-57.812500017E-6,,,,,21.03360021E-6,-24.21874925E-3,
,,,21.03400038E-6,-58.437497501E-6,,,,,21.03400038E-6,-23.12500030E-3,
,,,21.03440056E-6,-54.687498050E-6,,,,,21.03440056E-6,-22.18749933E-3,
,,,21.03479892E-6,-61.874998210E-6,,,,,21.03479892E-6,-24.84374866E-3,
,,,21.03519910E-6,-64.687497797E-6,,,,,21.03519910E-6,-24.37499911E-3,
,,,21.03559927E-6,-60.312497226E-6,,,,,21.03559927E-6,-23.28125015E-3,
,,,21.03599945E-6,-59.999998484E-6,,,,,21.03599945E-6,-23.12500030E-3,
,,,21.03639963E-6,-58.437497501E-6,,,,,21.03639963E-6,-22.96874858E-3,
,,,21.03679981E-6,-57.187498896E-6,,,,,21.03679981E-6,-21.71874978E-3,
,,,21.03719999E-6,-60.624999605E-6,,,,,21.03719999E-6,-22.96874858E-3,
,,,21.03760016E-6,-60.312497226E-6,,,,,21.03760016E-6,-23.28125015E-3,
,,,21.03800034E-6,-54.687498050E-6,,,,,21.03800034E-6,-22.34374918E-3,
,,,21.03840052E-6,-59.374997363E-6,,,,,21.03840052E-6,-24.53124896E-3,
,,,21.03880070E-6,-61.562495830E-6,,,,,21.03880070E-6,-23.59374985E-3,
,,,21.03919905E-6,-61.874998210E-6,,,,,21.03919905E-6,-24.53124896E-3,
,,,21.03959923E-6,-57.499997638E-6,,,,,21.03959923E-6,-24.37499911E-3,
,,,21.03999941E-6,-52.81249832E-6,,,,,21.03999941E-6,-21.40625007E-3,
,,,21.04039959E-6,-61.250000726E-6,,,,,21.04039959E-6,-24.06249940E-3,
,,,21.04079977E-6,-64.374995418E-6,,,,,21.04079977E-6,-23.28125015E-3,
,,,21.04119994E-6,-68.749999627E-6,,,,,21.04119994E-6,-23.12500030E-3,
,,,21.04160012E-6,-64.062500314E-6,,,,,21.04160012E-6,-22.34374918E-3,
,,,21.04200030E-6,-60.937498347E-6,,,,,21.04200030E-6,-22.81249873E-3,
,,,21.04240048E-6,-64.687497797E-6,,,,,21.04240048E-6,-24.84374866E-3,
,,,21.04280065E-6,-61.250000726E-6,,,,,21.04280065E-6,-21.87499963E-3,
